# 6 MV Wedge Off-axis Ratio - Non-wedge Direction

# Metadata
# M(off-axis distance, depth) at 100 cm SSD, 40 x 30 field
DESCRIPTION=M(distance, depth) / M(0, depth)<br/>Measured at 100 cm SSD with wedge, distance along non-wedge direction
SOURCE=Planning Data Book (28-04-2016)

# Depth (cm)
X_TITLE=Depth (cm)
X_HEADERS=OAD (cm),1.5 cm<br />DEPTH,5.0 cm<br />DEPTH,10.0 cm<br />DEPTH,20.0 cm<br />DEPTH,30.0 cm<br />DEPTH
X_FORMAT={:.1f}
X_VALUES=1.5,5.0,10.0,20.0,30.0

# Off-axis distance (cm)
Y_TITLE=Off-axis Distance in Non-wedge Direction (cm)
Y_HEADERS=
Y_FORMAT={:.1f}
Y_VALUES=0,1,2,3,4,5,6,7,8,9,10,11,12,13

# Table data
XY_FORMAT={:.3f}
XY_TYPE=NUMERIC
1.000,1.000,1.000,1.000,1.000
1.001,1.001,1.001,1.003,0.999
1.002,1.002,1.002,1.006,0.998
1.004,1.003,1.004,1.005,1.000
1.006,1.005,1.005,1.005,1.002
1.007,1.007,1.007,1.006,1.001
1.008,1.009,1.008,1.007,1.000
1.009,1.009,1.007,1.007,0.999
1.010,1.010,1.007,1.006,0.999
1.009,1.007,1.005,1.005,0.998
1.007,1.005,1.003,1.004,0.997
1.005,1.002,1.000,1.000,0.994
1.003,0.999,0.998,0.996,0.990
1.005,1.000,0.996,0.993,0.987
1.007,1.002,0.995,0.990,0.983
1.007,1.003,0.996,0.989,0.981
1.008,1.004,0.997,0.988,0.978
1.006,1.002,0.995,0.987,0.976
1.004,1.001,0.993,0.986,0.974
1.002,0.998,0.989,0.982,0.970
0.999,0.995,0.986,0.978,0.965
0.993,0.986,0.978,0.968,0.957
0.986,0.978,0.970,0.955,0.941
0.972,0.967,0.955,0.943,0.928
