# Depth in water in (cm)
X_HEADERS=OAD (cm),1.5 cm<br />Depth,5.0 cm<br />Depth,10.0 cm<br />Depth,20.0 cm<br />Depth,30.0 cm<br />Depth
X_VALUES=1.5,5.0,10.0,20.0,30.0

# Off axis distance in (cm)
Y_FORMAT={:.1f}
Y_VALUES=0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,12.0,15.0,17.0,20.0

# Reading(field size, depth) / reading(field size, depth of maximum dose)
XY_FORMAT={:.3f}
1.000,1.000,1.000,1.000,1.000
0.999,1.002,0.998,1.000,1.003
1.003,1.002,1.002,1.003,1.005
1.007,1.007,1.004,1.005,1.005
1.010,1.006,1.006,1.009,1.013
1.011,1.012,1.005,1.005,1.010
1.018,1.013,1.013,1.010,1.015
1.017,1.017,1.014,1.010,1.012
1.023,1.020,1.016,1.015,1.017
1.025,1.021,1.016,1.016,1.015
1.022,1.022,1.020,1.012,1.015
1.026,1.020,1.017,1.015,1.018
1.026,1.023,1.014,1.013,1.016
1.027,1.023,1.017,1.014,1.016
1.028,1.023,1.018,1.013,1.013
1.030,1.024,1.019,1.009,1.010
1.035,1.028,1.018,1.008,1.011
1.039,1.030,1.021,1.010,1.015
1.040,1.035,1.022,1.007,1.007
1.042,1.034,1.023,1.009,1.003
1.047,1.038,1.021,1.005,1.009
1.048,1.037,1.024,1.004,0.998
1.050,1.034,1.012,0.984,0.997
1.043,1.027,1.006,0.974,0.962
1.040,1.015,0.986,0.943,0.929
